Object,RA,DEC,Class
A 2304-3308,23 06 59.25,-32 52 31.04,PRG
OA 02802,23 11 00.32,-32 29 58.85,PRG
HRG 40701,23 11 17.10,-32 27 05.49,PRG
HRG 02702,23 11 36.33,-80 36 05.68,PRG
AM 2311-425,23 13 53.11,-42 36 14.37,PRG
HRG 43701,23 15 31.97,-38 32 05.47,PRG
AM 2313-261,23 15 46.48,-25 54 18.37,PRG
HRG 10902,23 20 10.63,-67 08 56.96,PRG
FM 77-13,23 25 42.95,-67 03 26.14,PRG
A 2329-4102,23 31 54.51,-40 45 41.10,PRG
A 2330-3751,23 32 41.70,-37 34 30.50,PRG
FM 50-4,23 34 27.54,-70 37 49.60,PRG
A 2333-1637,23 35 57.35,-16 39 18.53,PRG
FM 470-15,23 37 06.38,-29 05 02.27,PRG
HRG 04901,23 42 26.45,-76 22 22.38,PRG
ESO 240-IG16,23 44 48.11,-49 06 39.47,PRG
FM 50-7,23 46 39.25,-70 22 48.89,PRG
A 2349-3927,23 51 41.16,-39 10 27.89,PRG
A 2350-4042,23 53 19.97,-40 25 51.44,PRG
FM 409-16,23 56 24.82,-29 01 23.37,PRG
ESO 293-IG17,23 56 29.85,-39 09 34.89,PRG
